No,employee_id,Role,Mathematics.Linear Algebra,Mathematics.Differential Equations,Mathematics.Optimization Technique,Mathematics.Calculus,Mathematics.Combinatorics & Graph,Statistics & Probabilities.Statistics,Statistics & Probabilities.Probability & Sampling,Statistics & Probabilities.Bayessian Method,Statistics & Probabilities.Hypothesis Testing,Statistics & Probabilities.A/B Testing,Statistics & Probabilities.CUPED,Data Structures & Algorithms.Complexity Analysis,Data Structures & Algorithms.Programming,Data Structures & Algorithms.Data Structures,Data Structures & Algorithms.Algorithms,Data Structures & Algorithms.Advanced Algorithms,Data Structures & Algorithms.SQL,Data Structures & Algorithms.Shell / Bash Scripting,"Econometrics, Data Analysis, and Data Visualization.Data Preprocessing & EDA","Econometrics, Data Analysis, and Data Visualization.Data Viz & Storytelling","Econometrics, Data Analysis, and Data Visualization.Econometrics","Econometrics, Data Analysis, and Data Visualization.Regression Analysis","Econometrics, Data Analysis, and Data Visualization.Time Series Analysis","Econometrics, Data Analysis, and Data Visualization.Correlation Analysis","Econometrics, Data Analysis, and Data Visualization.Causal Analysis","Econometrics, Data Analysis, and Data Visualization.Dimensional Reduction (PCA)",Machine Learning.Supervised ML,Machine Learning.Unsupervised ML,Machine Learning.Reinforcemetn Learning,Machine Learning.Feature Engineering,Machine Learning.Ensemble Method,Deep Learning.Neural Network & DL,Deep Learning.NLP,Deep Learning.GAN,Deep Learning.Generative AI,Deep Learning.Computer VIsion,Deep Learning.Audio & Speech Processing,Deep Learning.Transfer Learning,Deep Learning.Sequence Modelling,Deep Learning.Accelerated & Parallel Computing,Deep Learning.Edge Computing,Data & Cloud Engineering.Relational DB,Data & Cloud Engineering.Non Relational DB,Data & Cloud Engineering.Devops & CI/CD,Data & Cloud Engineering.Data Pipeline,Data & Cloud Engineering.Data Collection,Data & Cloud Engineering.Data Wrangling,Data & Cloud Engineering.Batch Processing,Data & Cloud Engineering.Stream Processing,Data & Cloud Engineering.Big Data Tech,Data & Cloud Engineering.Data Warehousing,Data & Cloud Engineering.ORM & REST API,Data & Cloud Engineering.Microservices & Containerization,Data & Cloud Engineering.Cloud Native,Data & Cloud Engineering.Cloud & Serverless Architecture,Data & Cloud Engineering.Data Security & Privacy,Data & Cloud Engineering.Distributed Systems,"Data & Cloud Engineering.Monitoring, Logging, Alerting",MLOPS.ML Lifecycle,MLOPS.ML Model Pipeline,MLOPS.Model Versioning,MLOPS.Automated Testing & Validation,MLOPS.Scalable Model Training,"MLOPS.Model Deployment, Monitoring, Logging",MLOPS.Ethical AI & Bias Mitigation
11,Talent 11,Data Engineer,2,3,3,2,3,3,4,2,4,4,2,4,4,4,4,4,5,5,4,4,3,3,4,4,3,3,3,3,2,4,2,1,2,2,2,1,1,1,1,1,1,5,4,5,5,4,5,5,5,5,5,4,5,5,4,3,4,5,3,2,2,3,2,2,1
12,Talent 12,Data Scientist,3,3,2,2,3,4,3,3,3,4,3,3,4,4,4,3,4,3,4,3,3,3,3,4,4,3,4,4,2,4,4,3,3,3,2,3,2,3,2,1,1,3,2,2,2,3,3,2,2,2,2,2,2,3,2,3,2,2,2,2,4,2,2,2,3
13,Talent 13,Data Engineer,3,2,2,3,2,3,3,4,3,2,1,3,5,4,4,2,5,4,5,4,2,4,3,3,2,4,5,4,2,4,2,5,5,2,4,2,2,2,4,2,1,5,4,4,4,5,5,4,4,3,5,3,2,3,3,3,1,2,1,1,1,2,1,1,1
14,Talent 14,Data Analyst,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,3,5,3,4,5,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2
15,Talent 15,Data Analyst,1,1,1,1,1,4,4,3,4,4,3,3,4,4,4,3,5,4,4,5,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1
16,Talent 16,Data Scientist,4,3,4,3,4,5,5,4,4,3,2,3,5,5,5,4,5,3,5,5,5,5,5,4,4,4,5,5,3,5,5,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,1,1,2,1,1,1,1
17,Talent 17,Data Analyst,1,1,1,1,1,3,2,1,2,1,1,1,2,1,1,1,3,1,3,3,1,3,3,3,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,Talent 18,Data Analyst,2,1,2,2,1,3,2,1,1,1,1,2,2,3,2,2,5,2,5,5,1,2,1,2,1,1,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,5,2,1,2,2,3,4,3,4,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1
19,Talent 19,Data Scientist,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,4,5,4,5,3,2,4,4,4,4,4,5,3,3,4,4,4,4,3,4,4,4,4,4,3,2,5,4,4,5,5,5,5,5,4,5,5,3,3,4,3,3,4,3,4,3,4,3,4,2
20,Talent 20,Data Analyst,3,3,3,3,3,3,3,2,2,2,2,3,4,4,4,3,4,3,3,3,2,3,3,3,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,4,4,4,3,3,2,2,2,3,3,2,2,2,3,3,2,2,1,1,1,1,1,1,1
21,Talent 21,Artificial Intelligence Engineer,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,3,5,5,3,5,5,3,3,4,5,5,3,5,5,5,5,5,5,5,4,5,5,3,3,5,5,5,3,3,5,5,3,4,3,5,3,3,3,2,4,3,5,5,5,5,5,5,5
22,Talent 22,Data Scientist,2,3,1,3,1,5,4,4,5,4,3,2,3,2,3,1,5,4,5,4,3,4,3,5,3,4,4,4,1,4,4,1,3,1,1,1,1,1,1,1,1,4,2,1,3,3,3,4,1,3,4,1,1,1,1,1,2,1,2,2,2,1,2,2,2
23,Talent 23,Artificial Intelligence Engineer,3,2,3,2,3,3,3,2,2,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2
24,Talent 24,Data Engineer,3,2,3,3,2,3,2,2,2,2,2,2,4,4,4,3,5,5,4,3,3,3,3,3,3,2,3,3,2,2,1,2,2,2,2,3,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3
25,Talent 25,Data Engineer,1,1,1,1,1,1,1,1,1,1,1,3,5,4,4,2,3,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,5,5,3,5,4,3,2,5,4,5,3,3,2,1,1,3,1,1,1,1,1,1
26,Talent 26,Data Scientist,5,4,5,4,4,5,5,4,5,3,2,2,5,5,5,3,5,3,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,2,2,2,2,2,3,3,1,5,3,1,4,4,3,3,2,2,3,1,1,1,2,2,1,1,3,2,3,3,2,2,2
27,Talent 27,Data Scientist,4,4,3,4,3,4,3,1,3,1,1,2,4,4,3,2,4,1,5,5,3,4,4,4,2,3,4,4,2,3,3,3,2,1,1,1,1,1,1,1,1,4,3,1,3,1,4,3,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1
28,Talent 28,Artificial Intelligence Engineer,4,3,3,3,3,4,4,2,2,3,3,4,5,5,4,4,3,5,5,5,3,4,4,4,3,3,5,3,3,4,4,5,3,2,3,5,3,4,5,5,3,3,3,2,3,3,2,2,2,2,2,2,5,4,3,2,2,3,4,4,5,4,3,5,3
29,Talent 29,Data Analyst,1,1,1,1,1,3,3,2,3,1,2,3,3,2,3,3,5,3,4,5,2,3,2,3,2,2,4,4,1,3,4,4,2,1,1,2,1,2,1,1,1,5,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,Talent 30,Data Analyst,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,5,3,5,5,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2
31,Talent 31,Data Analyst,5,5,5,5,5,4,4,4,4,5,2,5,5,5,5,5,5,5,4,4,2,4,4,4,4,2,4,4,2,2,2,4,5,2,2,3,2,2,2,4,2,5,5,4,4,4,4,4,3,4,3,4,3,3,3,3,4,2,2,2,2,2,2,2,2
32,Talent 34,Data Analyst,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,Talent 35,Data Analyst,3,2,1,1,3,4,2,1,3,3,2,1,2,3,4,2,5,2,4,5,1,3,4,3,3,1,3,2,1,2,1,3,2,1,1,1,2,1,2,1,1,4,2,1,3,3,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1
34,Talent 36,Data Analyst,4,3,2,3,2,4,4,3,2,2,4,2,3,4,5,4,5,2,5,5,5,3,4,4,4,1,2,3,2,2,2,2,2,2,2,1,1,1,2,1,3,5,4,2,3,3,2,2,2,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2
35,Talent 37,Data Analyst,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,5,4,5,5,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,5,5,3,3,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2
36,Talent 38,Data Engineer,3,3,2,2,2,3,3,2,3,2,2,3,5,4,4,3,5,4,5,5,2,2,3,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,5,4,3,5,5,5,5,3,3,5,2,2,3,3,3,2,4,1,1,1,1,1,1,1
37,Talent 39,Data Scientist,4,4,4,4,4,4,4,3,4,3,4,4,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3,3,3,5,5,4,5,5,5,4,4,5,4,5,4,4,4,4,4,5,4,4,3,3,3,3,3
38,Talent 40,Data Engineer,2,2,2,2,2,2,3,2,2,2,2,4,5,5,4,4,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
39,Talent 41,Data Scientist,3,2,2,3,2,3,2,2,2,3,2,2,3,3,3,3,4,3,3,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,3,4,3,3,2,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,3,2
40,Talent 42,Data Scientist,5,5,4,3,2,5,5,3,4,4,5,3,5,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,3,3,3,4,4,3,3,5,5,3,4,3,5,5,3,3,4,5,3,4,2,2,2,3,4,5,5,5,3,4,2
41,Talent 43,Data Scientist,3,3,2,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,2,3,3,2,2,3,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2
42,Talent 44,Data Analyst,2,2,3,3,2,3,2,2,3,3,2,2,2,2,3,2,4,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,Talent 45,Data Scientist,3,3,3,3,3,4,4,3,3,2,4,3,5,3,3,3,5,3,5,5,4,4,5,4,2,3,5,4,2,5,4,5,5,3,4,4,4,4,5,4,1,4,3,3,4,4,3,2,1,3,4,2,2,3,3,3,2,2,4,4,4,4,2,3,4
44,Talent 46,Data Engineer,3,3,3,3,3,3,3,2,2,3,2,5,5,5,4,4,5,5,5,4,3,3,4,3,3,3,4,4,3,3,3,3,3,2,3,1,1,1,1,1,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,3,4,3,3,3
45,Talent 47,Data Scientist,3,3,3,3,3,4,4,3,3,3,3,4,3,4,3,3,5,5,5,4,3,4,5,5,4,4,5,5,3,5,5,5,5,4,4,4,3,5,5,2,1,5,4,4,4,4,4,5,1,2,2,2,4,4,4,4,3,4,4,4,4,4,4,4,3
46,Talent 48,Data Engineer,3,3,3,4,4,3,3,3,3,3,3,4,5,5,5,5,4,4,3,3,2,4,3,3,3,2,4,3,3,3,3,2,3,2,3,3,2,2,3,2,2,5,5,3,3,5,5,4,3,3,4,5,4,3,3,3,3,3,2,2,2,2,2,2,2
47,Talent 49,Data Scientist,2,1,1,2,1,3,3,2,3,3,3,2,3,3,2,2,5,1,4,4,4,4,3,4,3,4,4,4,2,2,3,2,3,1,2,1,1,2,2,1,1,3,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1
48,Talent 50,Artificial Intelligence Engineer,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,4,4,4,4,3,4,4,4,3,4,5,5,3,4,5,4,4,3,4,4,4,4,3,4,3,4,4,3,2,2,2,4,4,4,2,5,5,2,2,2,3,3,3,3,3,3,3,3,3
49,Talent 51,Data Analyst,4,3,3,2,3,4,4,3,4,3,3,3,3,3,2,2,4,2,4,4,2,4,3,4,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,2,3,1,2,1,1,3,2,1,2,1,1,1,1,2,1,3,1,1,1,1
50,Talent 52,Artificial Intelligence Engineer,5,5,4,5,3,4,4,2,2,2,2,2,5,5,5,5,4,5,4,4,3,5,2,3,3,3,4,4,4,3,3,4,4,2,3,5,2,5,2,4,3,4,3,3,2,3,2,2,2,2,1,2,4,4,4,4,3,3,3,3,4,3,2,4,2
51,Talent 53,Data Engineer,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,4,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,4,2,4,4,2,3,3,4,3,3,2,3,2,2,1,1,1,1,1,1,1
52,Talent 54,Data Engineer,2,2,2,2,2,3,3,2,2,2,2,4,4,4,4,2,5,4,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,4,5,4,5,5,5,3,5,4,4,4,4,4,4,4,4,2,2,3,2,2,2
53,Talent 55,Data Scientist,3,3,2,3,4,3,3,2,2,2,2,3,4,4,3,3,4,2,3,3,2,3,2,3,3,3,4,3,2,4,3,3,2,1,1,4,1,2,1,3,1,4,3,2,3,5,3,1,1,1,1,4,2,2,2,1,1,1,2,2,1,3,1,2,1
54,Talent 56,Data Analyst,3,2,2,2,2,3,3,2,3,2,2,2,3,3,3,2,4,3,3,4,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,3,2,3,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1
55,Talent 57,Data Analyst,3,2,3,2,3,3,3,2,3,2,2,3,3,3,3,2,4,4,4,4,2,3,3,4,4,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56,Talent 58,Data Scientist,4,3,3,3,3,4,5,4,3,4,4,3,5,4,5,4,5,4,4,3,3,3,4,3,2,2,5,4,3,4,4,5,5,3,3,4,3,3,3,3,2,5,5,4,3,4,3,2,2,3,4,5,5,4,4,2,2,2,3,3,4,4,3,3,2
57,Talent 59,Data Scientist,2,1,1,1,2,3,4,1,2,3,2,4,5,4,3,2,5,4,5,5,3,2,3,3,2,1,3,3,2,3,1,3,3,2,1,4,2,3,1,4,2,5,3,5,3,4,4,3,2,1,5,4,4,2,4,2,1,3,1,1,1,1,1,1,1
58,Talent 60,Data Analyst,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4,4,4,3,4,3,4,4,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,4,4,2,3,3,3,3,3,3,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2
59,Talent 61,Data Analyst,3,3,2,3,2,3,3,2,3,2,2,2,4,4,4,3,4,3,4,4,3,4,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
60,Talent 62,Data Engineer,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
61,Talent 63,Data Analyst,5,5,5,5,5,5,5,4,5,5,4,3,3,5,4,3,5,2,4,5,5,5,5,5,3,3,4,3,1,3,3,1,1,1,1,1,1,1,1,1,1,5,5,2,2,5,5,4,1,3,3,2,1,1,1,2,3,4,2,2,2,2,3,3,2
62,Talent 64,Data Scientist,5,3,5,4,4,4,3,3,3,4,3,4,5,5,5,4,5,2,5,4,3,4,3,4,2,3,5,4,1,5,4,4,4,2,1,2,1,3,4,2,1,5,2,1,3,5,3,2,2,3,3,2,1,2,1,4,1,2,4,4,3,3,3,2,3
63,Talent 65,Artificial Intelligence Engineer,3,3,3,3,3,3,3,3,2,1,3,4,5,5,5,3,4,4,5,4,3,3,3,3,3,3,4,4,2,4,2,5,5,2,4,2,2,5,3,5,1,4,4,1,5,5,5,4,1,4,4,4,2,2,2,2,2,3,1,1,1,1,1,1,1
64,Talent 66,Data Scientist,4,3,5,3,3,4,4,3,5,3,2,4,4,4,4,3,5,2,5,5,4,5,5,5,4,3,5,5,3,4,4,4,3,1,4,2,2,1,1,1,1,3,1,1,2,2,3,2,1,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1
65,Talent 67,Data Analyst,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,2,2,3,2,3,3,2,2,3,1,1,2,2,1,1,1,1,1,1,1
66,Talent 68,Data Analyst,3,3,3,3,3,4,4,3,4,3,1,3,3,4,4,3,4,1,4,4,1,4,3,4,3,3,4,3,3,3,3,3,4,1,1,2,1,1,1,1,1,4,3,3,3,4,4,2,2,3,3,1,1,1,1,1,1,3,3,3,2,2,2,3,1
67,Talent 69,Data Scientist,4,3,3,4,3,5,4,4,5,3,4,3,4,3,4,3,5,2,5,4,4,5,4,5,3,3,5,4,2,4,4,4,3,2,2,3,4,3,3,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,3,2,3,2,3,3,3,3,2,3,2
68,Talent 70,Data Analyst,4,4,4,5,4,5,5,5,5,4,3,5,5,5,5,5,5,4,5,5,5,4,4,4,4,3,5,5,4,5,3,4,3,3,5,2,2,2,3,2,2,5,5,4,4,5,5,4,3,5,5,4,3,3,3,4,3,4,3,3,4,4,4,4,3
69,Talent 71,Artificial Intelligence Engineer,3,3,4,3,3,3,3,3,3,3,2,4,4,4,4,4,3,5,3,4,3,3,3,2,2,2,4,4,3,4,4,2,5,4,5,5,5,4,4,3,4,4,4,2,2,3,3,3,2,2,2,3,4,4,4,4,2,3,2,2,2,2,2,3,3
70,Talent 72,Data Analyst,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,1,1,1,1,1,1,1,1,1,1,2,1
71,Talent 73,Artificial Intelligence Engineer,4,5,5,4,5,5,5,4,4,4,4,5,4,4,5,5,4,5,5,4,5,4,5,5,5,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,3,4,4,4,5,4,5,4,5,5,4,4,3,3,4,5,5,4,4,4,5,5
72,Talent 74,Data Analyst,3,3,2,3,1,4,2,2,2,2,2,1,3,1,3,1,5,1,3,5,2,3,3,3,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,Talent 75,Data Scientist,4,2,3,3,2,3,3,2,2,3,2,3,4,3,3,2,4,2,4,4,2,4,3,3,1,3,4,4,1,4,3,3,3,1,2,3,1,3,3,2,2,4,3,1,2,2,2,3,2,2,3,1,2,1,1,2,1,2,3,3,3,1,1,1,3
74,Talent 76,Data Analyst,1,1,1,1,1,3,3,1,3,3,1,3,3,4,3,3,5,2,5,5,4,4,5,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,5,5,5,4,4,3,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1
75,Talent 77,Data Scientist,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
76,Talent 78,Data Analyst,2,1,2,2,2,3,3,2,2,3,3,2,2,2,2,2,5,2,4,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,3,2,2,2,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1
77,Talent 79,Data Scientist,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,4,3,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,3,3,3,1,2,3,3,1,1,1,2,1,1,2,2,2,2,2,2,2
78,Talent 80,Data Engineer,3,2,2,3,2,3,3,2,2,3,2,3,4,4,4,3,5,4,4,3,2,3,4,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,5,4,4,4,4,3,4,3,4,4,3,4,3,3,3,3,4,2,2,2,2,2,2,2
